J/U : all $FF
E/SS : alternates $00 and $FF in groups of $20, also random bits set/reset


J       U       SS      E0      E1
0DC7FF  0DC7FF  0DC7FF  0DC7FF  0DC7FF
  $1E0    $1E0    $1E0    $1E0    $1DA
                
0DD282  0DD282  0DD282  0DD282  0DD282
0DD3FF  0DD3FF  0DD3FF  0DD3FF  0DD3FF
  $17E    $17E    $17E    $17E    $17E
                
0DE186  0DE186  0DE186  0DE186  0DE186
0DE2FF  0DE2FF  0DE2FF  0DE2FF  0DE2FF
  $17A    $17A    $17A    $17A    $17A
                
0DF089  0DF08A  0DF08A  0DF08A  0DF08A
0DF2FF  0DF2FF  0DF2FF  0DF2FF  0DF2FF
  $277    $276    $276    $276    $276
                
0DFCEB  0DFE9F  0DFE9F  0DFE9F  0DFE9F
0DFFFF  0DFFFF  0DFFFF  0DFFFF  0DFFFF
  $315    $161    $161    $161    $161
                
0EF100  0EF0F0  0EF0F0  0EF0F0  0EF0F0
0EFFFF  0EFFFF  0EFFFF  0EFFFF  0EFFFF
  $F00    $F10    $F10    $F10    $F10
                
0FEF90  0FEF90  0FEF90  0FEF90  0FEF90
0FFFFF  0FFFFF  0FFFFF  0FFFFF  0FFFFF
 $1070   $1070   $1070   $1070   $1070
